Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
45.0,7309254918,68957,105997.3,4589.0,2625,211912302,1293380.5,cudaLaunchKernel
13.5,2187506359,11,198864214.5,198850859.0,198557541,199397991,256823.9,cudaDeviceSynchronize
13.3,2166808123,7725,280493.0,4591.0,1344,2252710,631470.2,cudaMemsetAsync
11.2,1816474354,7695,236059.0,5177.0,3112,2203976,520982.3,cudaLaunchKernelExC
9.0,1465443301,1282,1143091.5,11619.5,5250,11644201,2934838.0,cudaMemcpyAsync
7.4,1200516050,5310,226085.9,4266.0,2498,2213089,565287.1,cuLaunchKernel
0.5,86875422,598,145276.6,144034.0,2938,300943,31953.3,cudaMalloc
0.1,9359020,292,32051.4,39466.5,5318,55797,14095.7,cudaStreamSynchronize
0.0,6562245,4,1640561.3,2108901.0,184376,2160067,971506.8,cuLibraryLoadData
0.0,5324254,5310,1002.7,365.5,187,2086971,30489.3,cuKernelGetFunction
0.0,2606257,1,2606257.0,2606257.0,2606257,2606257,0.0,cudaGetDeviceProperties_v2
0.0,1530729,2,765364.5,765364.5,1999,1528730,1079561.8,cudaFree
0.0,573496,596,962.2,894.5,197,14555,724.3,cudaStreamIsCapturing
0.0,171697,1,171697.0,171697.0,171697,171697,0.0,cudaStreamCreate
0.0,123357,810,152.3,115.0,65,744,95.8,cuGetProcAddress_v2
0.0,48620,36,1350.6,222.0,199,26269,4396.2,cudaEventCreateWithFlags
0.0,10245,31,330.5,242.0,216,1619,324.7,cudaOccupancyMaxActiveClusters
0.0,8499,2,4249.5,4249.5,1816,6683,3441.5,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,7700,1,7700.0,7700.0,7700,7700,0.0,cudaStreamDestroy
0.0,7027,8,878.4,853.5,447,1595,334.8,cuLibraryGetKernel
0.0,4528,3,1509.3,1371.0,1220,1937,378.0,cuInit
0.0,1215,3,405.0,192.0,163,860,394.3,cuModuleGetLoadingMode
0.0,974,2,487.0,487.0,174,800,442.6,cudaGetDriverEntryPoint
